"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 12 12:55:16 IST 2026","Thu Mar 12 12:55:58 IST 2026","42399","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:42 | Test Run ID: Sample_SearchingHL_TR104 | Result ID: TC001_TR104"
"passed","Wed Mar 11 16:11:06 IST 2026","Wed Mar 11 16:11:46 IST 2026","40351","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:40 | Test Run ID: Sample_SearchingHL_TR097 | Result ID: TC001_TR097"
"passed","Fri Mar 13 12:52:59 IST 2026","Fri Mar 13 12:53:42 IST 2026","43000","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:43 | Test Run ID: Sample_SearchingHL_TR120 | Result ID: TC001_TR120"
"passed","Fri Mar 13 15:41:21 IST 2026","Fri Mar 13 15:42:08 IST 2026","47189","[ROCKET] Ixigo ","Regression Tests Tests","[PACKAGE] Flights -> Regression Tests","Flights_Regression Tests","SearchingFL","[Ixigo_Flights_SearchingFL_TC001] SearchingFL","Execution Time: 0:00:47 | Test Run ID: RegressionTests_SearchingFL_TR026 | Result ID: TC001_TR026"
"passed","Fri Mar 13 13:25:39 IST 2026","Fri Mar 13 13:26:35 IST 2026","56472","[ROCKET] Ixigo ","Smoke Tests Tests","[PACKAGE] Hotels -> Smoke Tests","Hotels_Smoke Tests","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:56 | Test Run ID: SmokeTests_SearchingHL_TR060 | Result ID: TC001_TR060"
"passed","Fri Mar 13 12:25:57 IST 2026","Fri Mar 13 12:27:23 IST 2026","86051","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:01:26 | Test Run ID: Sample_SearchingHL_TR117 | Result ID: TC001_TR117"
"passed","Wed Mar 11 17:09:41 IST 2026","Wed Mar 11 17:10:18 IST 2026","37121","[ROCKET] Ixigo ","Smoke Tests Tests","[PACKAGE] Hotels -> Smoke Tests","Hotels_Smoke Tests","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:37 | Test Run ID: SmokeTests_SearchingHL_TR056 | Result ID: TC001_TR056"
"broken","Wed Mar 11 17:12:15 IST 2026","Wed Mar 11 17:13:34 IST 2026","79286","[ROCKET] Ixigo ","Smoke Tests Tests","[PACKAGE] Hotels -> Smoke Tests","Hotels_Smoke Tests","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:01:19 | Test Run ID: SmokeTests_SearchingHL_TR059 | Result ID: TC001_TR059"
"passed","Wed Mar 11 16:56:14 IST 2026","Wed Mar 11 16:56:54 IST 2026","39648","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:39 | Test Run ID: Sample_SearchingHL_TR103 | Result ID: TC001_TR103"
"passed","Fri Mar 13 12:22:09 IST 2026","Fri Mar 13 12:24:06 IST 2026","116922","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:01:56 | Test Run ID: Sample_SearchingHL_TR116 | Result ID: TC001_TR116"
"passed","Wed Mar 11 16:53:15 IST 2026","Wed Mar 11 16:53:55 IST 2026","39393","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:39 | Test Run ID: Sample_SearchingHL_TR100 | Result ID: TC001_TR100"
"passed","Fri Mar 13 15:17:45 IST 2026","Fri Mar 13 15:19:21 IST 2026","96329","[ROCKET] Ixigo ","Sanity Tests Tests","[PACKAGE] Flights -> Sanity Tests","Flights_Sanity Tests","SearchingFL","[Ixigo_Flights_SearchingFL_TC001] SearchingFL","Execution Time: 0:01:36 | Test Run ID: SanityTests_SearchingFL_TR034 | Result ID: TC001_TR034"
"passed","Fri Mar 13 14:28:56 IST 2026","Fri Mar 13 14:29:40 IST 2026","44436","[ROCKET] Ixigo ","Smoke Tests Tests","[PACKAGE] Hotels -> Smoke Tests","Hotels_Smoke Tests","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:44 | Test Run ID: SmokeTests_SearchingHL_TR062 | Result ID: TC001_TR062"
"broken","Thu Mar 12 13:11:45 IST 2026","Thu Mar 12 13:12:31 IST 2026","46402","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:46 | Test Run ID: Sample_SearchingHL_TR110 | Result ID: TC001_TR110"
"passed","Fri Mar 13 20:18:33 IST 2026","Fri Mar 13 20:19:15 IST 2026","41399","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:41 | Test Run ID: Sample_SearchingHL_TR132 | Result ID: TC001_TR132"
"passed","Fri Mar 13 19:35:47 IST 2026","Fri Mar 13 19:36:42 IST 2026","54495","[ROCKET] Ixigo ","Sanity Tests Tests","[PACKAGE] Flights -> Sanity Tests","Flights_Sanity Tests","SearchingFL","[Ixigo_Flights_SearchingFL_TC001] SearchingFL","Execution Time: 0:00:54 | Test Run ID: SanityTests_SearchingFL_TR035 | Result ID: TC001_TR035"
"passed","Fri Mar 13 13:15:56 IST 2026","Fri Mar 13 13:16:39 IST 2026","42939","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:42 | Test Run ID: Sample_SearchingHL_TR124 | Result ID: TC001_TR124"
"passed","Wed Mar 11 16:12:04 IST 2026","Wed Mar 11 16:12:45 IST 2026","41120","[ROCKET] Ixigo ","Sample Tests","[PACKAGE] Hotels -> Sample","Hotels_Sample","SearchingHL","[IxigoAutomation_Hotels_SearchingHL_TC001] SearchingHL","Execution Time: 0:00:41 | Test Run ID: Sample_SearchingHL_TR098 | Result ID: TC001_TR098"
